algoritmo,versao,threads,tamanhoEntrada,tipoEntrada,mediaMs,menorMs,maiorMs,speedup,eficiencia,todosOrdenadosCorretamente
Bubble Sort,Paralelo,4,10000,ALEATORIA,4.5255399999999995,3.942,5.3698,18.612810846882365,4.653202711720591,true
Bubble Sort,Paralelo,8,10000,ALEATORIA,2.72438,2.5042,3.2836,30.91823460750703,3.864779325938379,true
Insertion Sort,Paralelo,1,10000,ALEATORIA,3.7522600000000006,3.5923,3.9816,1.018063780228449,1.018063780228449,true
Insertion Sort,Paralelo,2,10000,ALEATORIA,1.8733999999999997,1.4598,3.0551,2.039094694138999,1.0195473470694996,true
Insertion Sort,Paralelo,4,10000,ALEATORIA,1.4216600000000001,0.9654,2.0084,2.6870278406932737,0.6717569601733184,true
Insertion Sort,Paralelo,8,10000,ALEATORIA,1.0951400000000002,0.9907,1.2031,3.48817502785032,0.43602187848129,true
Quick Sort,Paralelo,1,10000,ALEATORIA,0.7496999999999999,0.6819,0.8757,0.7072695744964654,0.7072695744964654,true
Quick Sort,Paralelo,2,10000,ALEATORIA,0.75192,0.6857,0.8957,0.705181402276838,0.352590701138419,true
Quick Sort,Paralelo,4,10000,ALEATORIA,0.7707599999999999,0.7,0.8094,0.687944366599201,0.17198609164980025,true
Quick Sort,Paralelo,8,10000,ALEATORIA,0.83084,0.7597,1.0177,0.6381974868807472,0.0797746858600934,true
Merge Sort,Paralelo,1,10000,ALEATORIA,0.95756,0.8533,1.0624,0.7930364676887088,0.7930364676887088,true
Merge Sort,Paralelo,2,10000,ALEATORIA,0.9362,0.8243,1.1199,0.8111301004058962,0.4055650502029481,true
Merge Sort,Paralelo,4,10000,ALEATORIA,0.9596800000000002,0.8161,1.1206,0.7912845948649548,0.1978211487162387,true
Merge Sort,Paralelo,8,10000,ALEATORIA,1.1162999999999998,0.9765,1.3208,0.680265161694885,0.08503314521186063,true
Bubble Sort,Serial,1,1000,ORDENADA,9.400000000000001E-4,7.0E-4,0.0017,1.0,1.0,true
