algoritmo,versao,threads,tamanhoEntrada,tipoEntrada,amostra,tempoMs,score,ordenadoCorretamente
"Quick Sort","Paralelo",1,1000,"ALEATORIA",1,1.832,6304.177336664921,true
"Quick Sort","Paralelo",1,1000,"ALEATORIA",2,0.4012,7821.451621417294,true
"Quick Sort","Paralelo",1,1000,"ALEATORIA",3,0.3383,7991.915724967069,true
"Quick Sort","Paralelo",1,1000,"ALEATORIA",4,0.3587,7933.3828091085725,true
"Quick Sort","Paralelo",1,1000,"ALEATORIA",5,0.2974,8120.729879723605,true
"Quick Sort","Paralelo",2,1000,"ALEATORIA",1,0.5483,7509.236125292749,true
"Quick Sort","Paralelo",2,1000,"ALEATORIA",2,4.7826,5347.54214700522,true
"Quick Sort","Paralelo",2,1000,"ALEATORIA",3,0.671,7307.412195972745,true
"Quick Sort","Paralelo",2,1000,"ALEATORIA",4,0.6832,7289.405882215036,true
"Quick Sort","Paralelo",2,1000,"ALEATORIA",5,0.3442,7974.6318149636045,true
"Quick Sort","Paralelo",4,1000,"ALEATORIA",1,0.2971,8121.738831370246,true
"Quick Sort","Paralelo",4,1000,"ALEATORIA",2,0.3038,8099.444721664726,true
"Quick Sort","Paralelo",4,1000,"ALEATORIA",3,0.3547,7944.592833293524,true
"Quick Sort","Paralelo",4,1000,"ALEATORIA",4,0.3103,8078.281238376851,true
"Quick Sort","Paralelo",4,1000,"ALEATORIA",5,0.2737,8203.751604468629,true
"Quick Sort","Paralelo",8,1000,"ALEATORIA",1,0.3204,8046.260691452951,true
"Quick Sort","Paralelo",8,1000,"ALEATORIA",2,0.2894,8147.990101898788,true
"Quick Sort","Paralelo",8,1000,"ALEATORIA",3,0.3397,7987.787325112755,true
"Quick Sort","Paralelo",8,1000,"ALEATORIA",4,0.2683,8223.673064546689,true
"Quick Sort","Paralelo",8,1000,"ALEATORIA",5,0.283,8170.346620284089,true
"Merge Sort","Paralelo",1,1000,"ALEATORIA",1,0.931,6980.1818475755035,true
"Merge Sort","Paralelo",1,1000,"ALEATORIA",2,0.4085,7803.427060250807,true
"Merge Sort","Paralelo",1,1000,"ALEATORIA",3,0.3439,7975.503481406003,true
"Merge Sort","Paralelo",1,1000,"ALEATORIA",4,0.3078,8086.368089198792,true
"Merge Sort","Paralelo",1,1000,"ALEATORIA",5,0.3746,7890.026297809223,true
"Merge Sort","Paralelo",2,1000,"ALEATORIA",1,0.3537,7947.41509921574,true
"Merge Sort","Paralelo",2,1000,"ALEATORIA",2,0.379,7878.3532810794895,true
"Merge Sort","Paralelo",2,1000,"ALEATORIA",3,0.3688,7905.624798291831,true
"Merge Sort","Paralelo",2,1000,"ALEATORIA",4,0.4724,7658.156762095315,true
"Merge Sort","Paralelo",2,1000,"ALEATORIA",5,0.3473,7965.66883791956,true
"Merge Sort","Paralelo",4,1000,"ALEATORIA",1,0.8297,7095.27572428326,true
"Merge Sort","Paralelo",4,1000,"ALEATORIA",2,0.5552,7496.737194705182,true
"Merge Sort","Paralelo",4,1000,"ALEATORIA",3,0.4766,7649.309479761926,true
"Merge Sort","Paralelo",4,1000,"ALEATORIA",4,0.5252,7552.256477666384,true
"Merge Sort","Paralelo",4,1000,"ALEATORIA",5,0.7534,7191.667379043019,true
"Merge Sort","Paralelo",8,1000,"ALEATORIA",1,0.7437,7204.616253847209,true
"Merge Sort","Paralelo",8,1000,"ALEATORIA",2,0.8932,7021.592839332527,true
"Merge Sort","Paralelo",8,1000,"ALEATORIA",3,0.6871,7283.717579982112,true
"Merge Sort","Paralelo",8,1000,"ALEATORIA",4,0.5933,7430.403508766815,true
"Merge Sort","Paralelo",8,1000,"ALEATORIA",5,0.5628,7483.148874411517,true
"Bubble Sort","Serial",1,5000,"ALEATORIA",1,12.7664,5972.926497762856,true
"Bubble Sort","Serial",1,5000,"ALEATORIA",2,12.1791,6019.904681689321,true
"Bubble Sort","Serial",1,5000,"ALEATORIA",3,13.4695,5919.455599162669,true
"Bubble Sort","Serial",1,5000,"ALEATORIA",4,13.6047,5909.495115084721,true
"Bubble Sort","Serial",1,5000,"ALEATORIA",5,12.5378,5990.9495315163895,true
"Insertion Sort","Serial",1,5000,"ALEATORIA",1,0.9564,8561.963496522518,true
"Insertion Sort","Serial",1,5000,"ALEATORIA",2,0.9864,8531.0837790911,true
"Insertion Sort","Serial",1,5000,"ALEATORIA",3,0.9841,8533.41775312692,true
"Insertion Sort","Serial",1,5000,"ALEATORIA",4,0.9735,8544.245326634535,true
"Insertion Sort","Serial",1,5000,"ALEATORIA",5,0.9422,8576.919326379848,true
"Quick Sort","Serial",1,5000,"ALEATORIA",1,0.2767,9802.069922074294,true
"Quick Sort","Serial",1,5000,"ALEATORIA",2,0.2359,9961.587662871803,true
